date,claim_type,region,claim_count,avg_handle_time_min,weather_event,day_of_week,month,week_of_year
2022-01-01,auto_collision,west,20,45.5,0,Saturday,1,52
2022-01-01,auto_liability,northeast,11,67.2,0,Saturday,1,52
2022-01-01,property_damage,midwest,33,47.6,0,Saturday,1,52
2022-01-01,weather_event,west,14,70.3,0,Saturday,1,52
2022-01-02,auto_collision,midwest,57,37.6,0,Sunday,1,52
2022-01-02,auto_liability,northeast,31,43.3,0,Sunday,1,52
2022-01-02,property_damage,west,33,53.6,0,Sunday,1,52
2022-01-02,weather_event,midwest,0,77.3,0,Sunday,1,52
2022-01-03,auto_collision,midwest,55,56.6,0,Monday,1,1
2022-01-03,auto_liability,west,70,51.8,0,Monday,1,1
2022-01-03,property_damage,midwest,22,54.4,0,Monday,1,1
2022-01-03,weather_event,west,121,64.2,0,Monday,1,1
2022-01-04,auto_collision,midwest,135,43.3,0,Tuesday,1,1
2022-01-04,auto_liability,south,103,58.9,0,Tuesday,1,1
2022-01-04,property_damage,west,3,47.7,0,Tuesday,1,1
2022-01-04,weather_event,northeast,20,58.7,0,Tuesday,1,1
2022-01-05,auto_collision,midwest,60,43.4,0,Wednesday,1,1
2022-01-05,auto_liability,northeast,82,58.3,0,Wednesday,1,1
2022-01-05,property_damage,south,33,45.8,0,Wednesday,1,1
2022-01-05,weather_event,northeast,57,76.7,0,Wednesday,1,1
2022-01-06,auto_collision,south,119,44.6,0,Thursday,1,1
2022-01-06,auto_liability,south,86,61.5,0,Thursday,1,1
2022-01-06,property_damage,west,13,54.8,0,Thursday,1,1
2022-01-06,weather_event,midwest,14,64.9,0,Thursday,1,1
2022-01-07,auto_collision,south,51,45.9,0,Friday,1,1
2022-01-07,auto_liability,south,127,59.1,0,Friday,1,1
2022-01-07,property_damage,south,61,52.4,0,Friday,1,1
2022-01-07,weather_event,northeast,13,71.8,0,Friday,1,1
2022-01-08,auto_collision,west,64,45.1,0,Saturday,1,1
2022-01-08,auto_liability,midwest,31,58.7,0,Saturday,1,1
2022-01-08,property_damage,west,70,50.6,0,Saturday,1,1
2022-01-08,weather_event,west,15,78.2,0,Saturday,1,1
