date,staff_available,staff_scheduled,shrinkage_pct
2022-01-01,40,49,0.141
2022-01-02,44,40,0.183
2022-01-03,83,93,0.126
2022-01-04,87,88,0.168
2022-01-05,89,92,0.156
2022-01-06,80,92,0.122
2022-01-07,82,91,0.129
2022-01-08,42,44,0.162
2022-01-09,39,47,0.116
2022-01-10,85,94,0.171
2022-01-11,81,87,0.174
2022-01-12,90,93,0.194
2022-01-13,85,92,0.186
2022-01-14,88,87,0.114
2022-01-15,36,46,0.157
2022-01-16,38,40,0.171
2022-01-17,89,92,0.142
2022-01-18,87,87,0.154
2022-01-19,80,88,0.149
2022-01-20,90,85,0.194
2022-01-21,85,89,0.167
2022-01-22,41,42,0.181
2022-01-23,45,42,0.168
2022-01-24,84,87,0.168
2022-01-25,85,87,0.134
2022-01-26,80,90,0.194
2022-01-27,88,91,0.138
2022-01-28,87,90,0.155
2022-01-29,40,46,0.147
2022-01-30,42,44,0.138
2022-01-31,87,85,0.174
2022-02-01,90,91,0.199
2022-02-02,81,86,0.138
2022-02-03,82,85,0.179
2022-02-04,86,88,0.159
2022-02-05,35,41,0.139
2022-02-06,37,47,0.166
2022-02-07,84,89,0.14
2022-02-08,83,86,0.142
2022-02-09,84,87,0.148
2022-02-10,82,88,0.185
2022-02-11,89,86,0.176
2022-02-12,42,49,0.11
2022-02-13,41,43,0.134
2022-02-14,89,88,0.151
2022-02-15,85,85,0.117
2022-02-16,81,94,0.136
2022-02-17,85,91,0.103
2022-02-18,81,94,0.18
2022-02-19,43,42,0.153
2022-02-20,35,40,0.124
2022-02-21,81,92,0.19
2022-02-22,82,87,0.167
2022-02-23,85,90,0.193
2022-02-24,87,93,0.104
2022-02-25,87,89,0.135
2022-02-26,44,42,0.14
2022-02-27,44,41,0.148
2022-02-28,84,89,0.176
2022-03-01,90,89,0.126
2022-03-02,83,89,0.1
2022-03-03,87,86,0.137
2022-03-04,85,88,0.123
2022-03-05,37,46,0.101
2022-03-06,38,49,0.141
2022-03-07,90,90,0.119
2022-03-08,90,86,0.19
2022-03-09,90,93,0.179
2022-03-10,85,90,0.142
2022-03-11,84,93,0.111
2022-03-12,44,49,0.146
2022-03-13,35,40,0.157
2022-03-14,80,86,0.137
2022-03-15,81,88,0.168
2022-03-16,81,88,0.109
2022-03-17,84,88,0.1
2022-03-18,83,86,0.169
2022-03-19,36,48,0.193
2022-03-20,42,48,0.146
2022-03-21,82,91,0.169
2022-03-22,87,93,0.113
2022-03-23,90,93,0.112
2022-03-24,80,87,0.114
2022-03-25,89,85,0.116
2022-03-26,38,43,0.158
2022-03-27,43,45,0.174
2022-03-28,90,88,0.168
2022-03-29,86,91,0.177
2022-03-30,81,90,0.12
2022-03-31,87,85,0.196
2022-04-01,82,90,0.139
2022-04-02,40,44,0.124
2022-04-03,35,49,0.104
2022-04-04,86,93,0.189
2022-04-05,88,87,0.161
2022-04-06,90,89,0.11
2022-04-07,83,92,0.168
2022-04-08,82,85,0.104
2022-04-09,37,41,0.139
2022-04-10,38,41,0.101
2022-04-11,90,94,0.128
2022-04-12,89,85,0.176
2022-04-13,85,94,0.128
2022-04-14,81,92,0.133
2022-04-15,88,92,0.18
2022-04-16,40,46,0.167
2022-04-17,37,43,0.124
2022-04-18,81,91,0.132
2022-04-19,85,91,0.187
2022-04-20,80,93,0.196
2022-04-21,81,85,0.136
2022-04-22,81,92,0.109
2022-04-23,41,41,0.199
2022-04-24,36,46,0.194
2022-04-25,81,90,0.141
2022-04-26,86,86,0.112
2022-04-27,81,90,0.123
2022-04-28,80,89,0.138
2022-04-29,90,90,0.141
2022-04-30,43,42,0.105
2022-05-01,45,46,0.115
2022-05-02,84,85,0.102
2022-05-03,83,93,0.173
2022-05-04,87,87,0.192
2022-05-05,90,93,0.178
2022-05-06,86,86,0.131
2022-05-07,36,44,0.13
2022-05-08,39,41,0.111
2022-05-09,84,94,0.173
2022-05-10,84,86,0.11
2022-05-11,81,88,0.103
2022-05-12,80,85,0.174
2022-05-13,90,90,0.151
2022-05-14,39,49,0.154
2022-05-15,38,42,0.131
2022-05-16,83,85,0.151
2022-05-17,84,92,0.126
2022-05-18,84,92,0.164
2022-05-19,82,88,0.103
2022-05-20,86,88,0.185
2022-05-21,36,41,0.168
2022-05-22,41,42,0.151
2022-05-23,83,94,0.199
2022-05-24,85,92,0.109
2022-05-25,87,90,0.125
2022-05-26,82,86,0.13
2022-05-27,89,90,0.117
2022-05-28,35,48,0.147
2022-05-29,38,41,0.154
2022-05-30,90,89,0.169
2022-05-31,82,92,0.125
2022-06-01,90,89,0.185
2022-06-02,90,89,0.199
2022-06-03,81,91,0.101
2022-06-04,44,47,0.102
2022-06-05,38,49,0.137
2022-06-06,89,93,0.153
2022-06-07,88,91,0.128
2022-06-08,90,87,0.2
2022-06-09,90,87,0.102
2022-06-10,85,92,0.163
2022-06-11,45,42,0.139
2022-06-12,42,49,0.161
2022-06-13,90,89,0.168
2022-06-14,89,94,0.116
2022-06-15,90,86,0.187
2022-06-16,87,91,0.128
2022-06-17,83,87,0.124
2022-06-18,39,40,0.153
2022-06-19,37,40,0.112
2022-06-20,84,94,0.147
2022-06-21,90,85,0.177
2022-06-22,82,88,0.135
2022-06-23,87,88,0.101
2022-06-24,82,91,0.161
2022-06-25,39,47,0.105
2022-06-26,37,41,0.172
2022-06-27,90,85,0.11
2022-06-28,82,93,0.118
2022-06-29,89,90,0.134
2022-06-30,81,94,0.188
2022-07-01,85,87,0.131
2022-07-02,36,46,0.159
2022-07-03,40,44,0.139
2022-07-04,87,87,0.191
2022-07-05,87,85,0.135
2022-07-06,80,89,0.157
2022-07-07,83,88,0.182
2022-07-08,86,85,0.103
2022-07-09,40,49,0.15
2022-07-10,38,48,0.137
2022-07-11,88,85,0.102
2022-07-12,88,89,0.102
2022-07-13,87,89,0.117
2022-07-14,89,91,0.182
2022-07-15,86,85,0.15
2022-07-16,37,44,0.166
2022-07-17,42,46,0.135
2022-07-18,86,91,0.124
2022-07-19,84,88,0.133
2022-07-20,84,94,0.164
2022-07-21,90,90,0.137
2022-07-22,83,91,0.17
2022-07-23,41,42,0.188
2022-07-24,43,41,0.127
2022-07-25,89,86,0.139
2022-07-26,82,94,0.151
2022-07-27,89,87,0.186
2022-07-28,83,90,0.153
2022-07-29,88,86,0.179
2022-07-30,36,42,0.175
2022-07-31,38,40,0.128
2022-08-01,87,88,0.163
2022-08-02,87,94,0.101
2022-08-03,89,94,0.176
2022-08-04,89,94,0.138
2022-08-05,83,86,0.185
2022-08-06,39,43,0.197
2022-08-07,41,41,0.16
2022-08-08,88,89,0.13
2022-08-09,88,85,0.141
2022-08-10,89,93,0.181
2022-08-11,86,94,0.185
2022-08-12,82,89,0.19
2022-08-13,45,49,0.124
2022-08-14,41,40,0.118
2022-08-15,90,88,0.187
2022-08-16,85,88,0.149
2022-08-17,85,93,0.181
2022-08-18,89,94,0.118
2022-08-19,85,88,0.153
2022-08-20,37,45,0.173
2022-08-21,42,43,0.108
2022-08-22,84,90,0.14
2022-08-23,85,91,0.129
2022-08-24,89,85,0.199
2022-08-25,86,88,0.153
2022-08-26,86,86,0.19
2022-08-27,41,49,0.11
2022-08-28,38,44,0.132
2022-08-29,84,87,0.164
2022-08-30,84,91,0.129
2022-08-31,87,92,0.163
2022-09-01,83,89,0.184
2022-09-02,84,91,0.159
2022-09-03,40,48,0.2
2022-09-04,38,45,0.142
2022-09-05,80,87,0.112
2022-09-06,85,91,0.11
2022-09-07,82,86,0.142
2022-09-08,84,85,0.199
2022-09-09,89,88,0.138
2022-09-10,40,44,0.197
2022-09-11,42,41,0.183
2022-09-12,82,90,0.186
2022-09-13,86,91,0.198
2022-09-14,80,90,0.171
2022-09-15,82,87,0.113
2022-09-16,83,89,0.118
2022-09-17,35,43,0.139
2022-09-18,45,46,0.174
2022-09-19,83,89,0.105
2022-09-20,85,88,0.137
2022-09-21,89,86,0.192
2022-09-22,84,88,0.156
2022-09-23,90,86,0.191
2022-09-24,45,44,0.13
2022-09-25,35,45,0.152
2022-09-26,83,85,0.179
2022-09-27,86,88,0.124
2022-09-28,86,86,0.196
2022-09-29,90,88,0.175
2022-09-30,85,93,0.186
2022-10-01,45,44,0.146
2022-10-02,37,45,0.122
2022-10-03,87,88,0.158
2022-10-04,88,94,0.175
2022-10-05,87,90,0.12
2022-10-06,83,88,0.177
2022-10-07,88,94,0.101
2022-10-08,40,42,0.1
2022-10-09,36,46,0.141
2022-10-10,89,85,0.122
2022-10-11,87,85,0.123
2022-10-12,81,92,0.151
2022-10-13,84,91,0.163
2022-10-14,90,91,0.103
2022-10-15,36,47,0.116
2022-10-16,36,46,0.176
2022-10-17,89,94,0.187
2022-10-18,88,87,0.153
2022-10-19,82,93,0.182
2022-10-20,87,85,0.126
2022-10-21,90,92,0.151
2022-10-22,36,40,0.168
2022-10-23,36,42,0.163
2022-10-24,85,92,0.152
2022-10-25,83,85,0.143
2022-10-26,84,93,0.18
2022-10-27,89,94,0.171
2022-10-28,90,85,0.131
2022-10-29,41,46,0.165
2022-10-30,42,46,0.106
2022-10-31,87,92,0.195
2022-11-01,89,88,0.189
2022-11-02,85,86,0.198
2022-11-03,80,85,0.193
2022-11-04,89,90,0.174
2022-11-05,37,49,0.157
2022-11-06,45,48,0.185
2022-11-07,85,86,0.142
2022-11-08,90,92,0.196
2022-11-09,80,91,0.112
2022-11-10,90,92,0.178
2022-11-11,83,86,0.196
2022-11-12,39,48,0.141
2022-11-13,42,41,0.112
2022-11-14,90,91,0.14
2022-11-15,87,87,0.154
2022-11-16,89,90,0.169
2022-11-17,85,93,0.171
2022-11-18,81,89,0.193
2022-11-19,37,44,0.174
2022-11-20,41,41,0.106
2022-11-21,86,86,0.121
2022-11-22,86,90,0.136
2022-11-23,90,90,0.141
2022-11-24,80,89,0.192
2022-11-25,86,88,0.192
2022-11-26,42,43,0.134
2022-11-27,38,42,0.182
2022-11-28,84,93,0.106
2022-11-29,90,91,0.16
2022-11-30,90,93,0.173
2022-12-01,90,85,0.173
2022-12-02,82,86,0.194
2022-12-03,41,44,0.109
2022-12-04,40,47,0.197
2022-12-05,81,85,0.117
2022-12-06,83,93,0.189
2022-12-07,86,91,0.152
2022-12-08,82,87,0.136
2022-12-09,82,92,0.127
2022-12-10,39,44,0.129
2022-12-11,43,42,0.135
2022-12-12,82,88,0.119
2022-12-13,87,91,0.169
2022-12-14,85,90,0.169
2022-12-15,89,88,0.156
2022-12-16,86,87,0.192
2022-12-17,35,46,0.182
2022-12-18,45,40,0.195
2022-12-19,89,93,0.172
2022-12-20,90,93,0.142
2022-12-21,86,88,0.162
2022-12-22,80,94,0.125
2022-12-23,86,87,0.175
2022-12-24,44,46,0.161
2022-12-25,36,42,0.118
2022-12-26,84,88,0.17
2022-12-27,82,85,0.133
2022-12-28,89,90,0.133
2022-12-29,82,92,0.134
2022-12-30,89,94,0.164
2022-12-31,44,47,0.172
2023-01-01,36,40,0.11
2023-01-02,87,85,0.168
2023-01-03,80,94,0.106
2023-01-04,87,93,0.175
2023-01-05,90,86,0.188
2023-01-06,83,90,0.104
2023-01-07,37,41,0.122
2023-01-08,38,45,0.161
2023-01-09,90,92,0.177
2023-01-10,86,87,0.119
2023-01-11,82,92,0.125
2023-01-12,80,87,0.197
2023-01-13,81,91,0.163
2023-01-14,42,41,0.139
2023-01-15,45,44,0.187
2023-01-16,90,91,0.166
2023-01-17,83,92,0.128
2023-01-18,90,86,0.196
2023-01-19,87,88,0.115
2023-01-20,90,91,0.167
2023-01-21,35,42,0.148
2023-01-22,37,44,0.185
2023-01-23,80,89,0.116
2023-01-24,83,90,0.139
2023-01-25,88,94,0.142
2023-01-26,90,86,0.133
2023-01-27,88,94,0.18
2023-01-28,35,48,0.121
2023-01-29,39,44,0.124
2023-01-30,80,93,0.108
2023-01-31,90,92,0.144
2023-02-01,85,91,0.102
2023-02-02,83,93,0.112
2023-02-03,83,94,0.129
2023-02-04,38,43,0.167
2023-02-05,36,42,0.151
2023-02-06,88,89,0.185
2023-02-07,81,91,0.144
2023-02-08,86,92,0.145
2023-02-09,84,89,0.178
2023-02-10,82,91,0.134
2023-02-11,39,46,0.122
2023-02-12,43,48,0.152
2023-02-13,84,94,0.14
2023-02-14,80,86,0.124
2023-02-15,84,90,0.116
2023-02-16,80,94,0.141
2023-02-17,83,92,0.19
2023-02-18,39,40,0.118
2023-02-19,42,44,0.191
2023-02-20,90,88,0.18
2023-02-21,88,91,0.143
2023-02-22,85,87,0.112
2023-02-23,80,89,0.155
2023-02-24,85,92,0.11
2023-02-25,42,43,0.182
2023-02-26,45,47,0.133
2023-02-27,85,91,0.131
2023-02-28,90,91,0.113
2023-03-01,89,88,0.119
2023-03-02,89,86,0.114
2023-03-03,90,93,0.198
2023-03-04,39,44,0.174
2023-03-05,37,42,0.177
2023-03-06,90,89,0.174
2023-03-07,90,86,0.119
2023-03-08,88,94,0.103
2023-03-09,86,93,0.174
2023-03-10,80,86,0.154
2023-03-11,45,40,0.164
2023-03-12,45,42,0.144
2023-03-13,87,89,0.143
2023-03-14,82,93,0.134
2023-03-15,90,94,0.173
2023-03-16,80,87,0.196
2023-03-17,81,90,0.179
2023-03-18,38,49,0.124
2023-03-19,41,43,0.123
2023-03-20,87,92,0.181
2023-03-21,90,90,0.138
2023-03-22,88,89,0.145
2023-03-23,80,92,0.185
2023-03-24,85,92,0.123
2023-03-25,35,42,0.152
2023-03-26,45,47,0.167
2023-03-27,88,88,0.163
2023-03-28,84,87,0.119
2023-03-29,90,90,0.183
2023-03-30,84,93,0.16
2023-03-31,86,90,0.166
2023-04-01,41,49,0.163
2023-04-02,35,48,0.171
2023-04-03,85,89,0.167
2023-04-04,83,92,0.152
2023-04-05,81,92,0.145
2023-04-06,88,90,0.114
2023-04-07,83,92,0.133
2023-04-08,44,41,0.135
2023-04-09,38,43,0.167
2023-04-10,81,85,0.133
2023-04-11,87,87,0.115
2023-04-12,83,86,0.117
2023-04-13,84,94,0.12
2023-04-14,88,86,0.176
2023-04-15,40,44,0.141
2023-04-16,36,48,0.195
2023-04-17,83,85,0.108
2023-04-18,90,90,0.159
2023-04-19,86,93,0.113
2023-04-20,85,90,0.194
2023-04-21,81,91,0.116
2023-04-22,35,48,0.138
2023-04-23,39,43,0.159
2023-04-24,83,88,0.17
2023-04-25,81,88,0.167
2023-04-26,86,94,0.165
2023-04-27,81,86,0.191
2023-04-28,85,90,0.103
2023-04-29,35,45,0.16
2023-04-30,38,42,0.112
2023-05-01,85,85,0.191
